ensayo,trt,rep,verdor,MA_inc,RE_inc,RH_inc,MA_sev,RE_sev,RH_sev,trat,MA_int,RE_int,RH_int
PA,5,2,100,66.66666666666666,83.33333333333334,0,12.984126984126982,8.248677248677248,0,orq_Z39,8.656084656084653,6.873897707231041,0
PA,6,2,100,63.33333333333333,30,0,8.166666666666666,8.214285714285715,0,rub_Z32_orq_Z39,5.172222222222222,2.4642857142857144,0
PA,7,2,100,66.66666666666666,30,0,6.741666666666667,5.666666666666667,0,rub_Z32_carbFMC_Z39,4.494444444444444,1.7,0
LP,1,3,90,11.111111111111112,55.96707818930041,0,4,9.333333333333334,0,test,0.4444444444444445,5.223593964334706,0
LP,3,3,96.55172413793103,32.142857142857146,0,0,1.7222222222222223,0,0,rub_Z39,0.5535714285714286,0,0
LP,4,3,100,40,20,0,1.7166666666666668,4.25,0,orq_Z32,0.6866666666666668,0.8500000000000001,0
LP,5,3,96.42857142857143,59.25925925925925,0,0,2.125,0,0,orq_Z39,1.259259259259259,0,0
LP,6,3,100,36.666666666666664,0,0,2.6666666666666665,0,0,rub_Z32_orq_Z39,0.9777777777777776,0,0
LP,7,3,100,26.666666666666668,0,0,2.2777777777777777,0,0,rub_Z32_carbFMC_Z39,0.6074074074074074,0,0
PA,1,3,100,50,83.33333333333334,0,7.777777777777779,13.577380952380954,0,test,3.8888888888888893,11.31448412698413,0
PA,2,3,100,56.666666666666664,50,0,10.380952380952381,7.777777777777779,0,rub_Z32,5.882539682539683,3.8888888888888893,0
PA,3,3,100,64.28571428571428,75,0,10.416666666666666,7.458333333333333,0,rub_Z39,6.69642857142857,5.59375,0
PA,4,3,100,40,56.666666666666664,0,10.317460317460316,5.972222222222222,0,orq_Z32,4.1269841269841265,3.384259259259259,0
PA,5,3,100,50,90,0,6.285714285714286,6.295238095238095,0,orq_Z39,3.142857142857143,5.6657142857142855,0
PA,6,3,100,58.620689655172406,62.06896551724138,0,8.968253968253968,6.825396825396825,0,rub_Z32_orq_Z39,5.257252326217843,4.236453201970443,0
PA,7,3,100,43.33333333333333,50,0,6.964285714285714,6.388888888888889,0,rub_Z32_carbFMC_Z39,3.017857142857143,3.1944444444444446,0
LP,1,4,72.41379310344827,0,84.60317460317461,0,0,21.685185185185187,0,test,0,18.346355085243978,0
LP,2,4,100,23.333333333333332,53.333333333333336,0,2.888888888888889,7.7592592592592595,0,rub_Z32,0.674074074074074,4.1382716049382715,0
LP,3,4,100,36.666666666666664,0,0,2.022222222222222,0,0,rub_Z39,0.7414814814814814,0,0
LP,4,4,100,23.333333333333332,46.666666666666664,0,1.95,7.301587301587301,0,orq_Z32,0.45499999999999996,3.407407407407407,0
LP,5,4,93.10344827586206,13.168724279835391,0,0,4.25,0,0,orq_Z39,0.5596707818930041,0,0
LP,6,4,100,17.24137931034483,6.896551724137931,0,1.8333333333333333,2,0,rub_Z32_orq_Z39,0.3160919540229885,0.13793103448275862,0
LP,7,4,100,16.666666666666664,3.333333333333334,0,2.833333333333333,3,0,rub_Z32_carbFMC_Z39,0.47222222222222204,0.10000000000000002,0
PA,1,4,100,65.51724137931035,75.86206896551724,0,11.88095238095238,11.458333333333334,0,test,7.784072249589491,8.692528735632184,0
PA,2,4,100,56.666666666666664,46.666666666666664,0,7.388888888888889,5.666666666666667,0,rub_Z32,4.187037037037038,2.6444444444444444,0
PA,3,4,100,50,76.66666666666667,0,11.111111111111109,8.988095238095239,0,rub_Z39,5.5555555555555545,6.890873015873017,0
PA,4,4,100,44.827586206896555,41.37931034482759,0,8.166666666666666,6.746031746031747,0,orq_Z32,3.6609195402298846,2.7914614121510675,0
PA,5,4,100,23.333333333333332,90,0,11.111111111111112,8.095238095238095,0,orq_Z39,2.5925925925925926,7.285714285714286,0
PA,6,4,100,36.666666666666664,60,0,8.333333333333334,6.666666666666667,0,rub_Z32_orq_Z39,3.0555555555555554,4,0
PA,7,4,100,43.333333333333336,43.333333333333336,0,7.569444444444445,7,0,rub_Z32_carbFMC_Z39,3.280092592592593,3.033333333333333,0
UPA,1,1,50,100,NA,100,10,NA,30,test,10,NA,30
UPA,2,1,83.33333333333334,90,NA,40,4,NA,5,rub_Z32,3.6,NA,2
UPA,3,1,91.66666666666666,80,NA,30,3,NA,5,rub_Z39,2.4000000000000004,NA,1.5
UPA,4,1,100,100,NA,40,5,NA,5,orq_Z32,5,NA,2
UPA,5,1,91.66666666666666,70,NA,20,2,NA,1,orq_Z39,1.4,NA,0.2
UPA,6,1,100,50,NA,10,2,NA,1,rub_Z32_orq_Z39,1,NA,0.1
UPA,7,1,100,100,NA,0,1,NA,0,rub_Z32_carbFMC_Z39,1,NA,0
UPA,1,2,45.833333333333336,100,NA,100,11,NA,25,test,11,NA,25
UPA,2,2,79.16666666666667,95,NA,50,4.5,NA,4,rub_Z32,4.2749999999999995,NA,2
UPA,3,2,75,90,NA,15,6.5,NA,2.5,rub_Z39,5.8500000000000005,NA,0.375
UPA,4,2,91.66666666666667,100,NA,50,6,NA,6.5,orq_Z32,6,NA,3.25
